OBJECTID,SYSTEM,MONTHDAY_INSTALLED,YEAR_INSTALLED,LIFECYCLESTATUS,OWNER,SUBTYPE,HYDRAULICID,FACILITYID,VEGETATION,Shape__Area,Shape__Length
74,GSWI,,,PRP,PWD,2,,7c17b5c1-25fc-488d-a7d7-4f49e40734f4,,85.2890625,60.2044958529387
75,GSWI,,,PRP,PWD,2,,67be8af6-d1da-4c76-b4ef-80ef2ca79bdf,,83.4296875,50.7170449345657
76,GSWI,,,PRP,PWD,2,,94a8fed1-5ae9-4ab8-bc0d-8b2709594fde,,85.68359375,57.5900008434097
77,GSWI,,,PRP,PWD,2,,a4dce84b-bb2f-4a0e-8be5-778db0b8f8c6,,109.24609375,75.2331197618004
78,GSWI,,,PRP,PWD,2,,f3b50a25-318f-4553-abe8-574e716ba5dd,,90.48828125,57.783643590867
79,GSWI,,,PRP,PWD,2,,c107f392-c96e-43fe-ae70-8bd86ea9bc37,,88.4609375,62.2022194259052
80,GSWI,,,PRP,PWD,2,,8cf2ed4e-ab1f-4148-b626-2b2d7bcfeb66,,76.6328125,52.2389643002394
81,GSWI,,,PRP,PWD,2,,fdc4edef-11f9-4094-90d0-31dd57afbe53,,58.45703125,39.9033166258394
82,GSWI,,,PRP,PWD,2,,1a7d3b45-7acb-4a29-b6cc-e6abc6de7040,,28.80859375,23.5499159652652
83,GSWI,,,PRP,PWD,2,,6216c322-825f-468f-95e7-1fdcdca1fd07,,75.44140625,47.4645186886468
84,GSWI,,,PRP,PWD,2,,7eac265c-c075-456e-b884-536d7795cdbe,,78.7734375,47.4665143666432
85,GSWI,,,PRP,PWD,2,,ce216500-a240-4bf9-ae4f-5db67f8b6f65,,85.94140625,51.0536162416192
86,GSWI,,,PRP,PWD,2,,985729ba-6879-4415-aefe-ae7d81d698ca,,85.921875,51.0583995840555
87,GSWI,,,PRP,PWD,2,,b6e41bea-0254-4c84-9b10-9393a664e279,,100.75,58.7980995579713
88,GSWI,,,PRP,PWD,2,,d0412c83-0ecc-4b0f-9927-1e26806f2fdf,,124.85546875,72.0596626654439
89,GSWI,,,PRP,PWD,2,,1b9f98ad-05fd-463b-9ee3-60688078c610,,115.95703125,53.039969076699
90,GSWI,6_29,2020,ACT,PWD,2,,bce53934-84b3-4679-b83c-b836f26baa1b,,45.33984375,31.0223375654077
